爱	愛	ai4	ài	love	我爱我的家人。
八	八	ba1	bā	eight	这个月我有八个生日派对。
爸爸	爸爸	ba4ba5	bàba	Dad	爸爸很高兴。
杯子	杯子	bei1zi5	bēizi	cup; glass	这是我的杯子。
北京	北京	Bei3jing1	Běijīng	Beijing	北京是中国的首都。
本	本	ben3	běn	measure word for books	这本书很有趣。
不客气	不客氣	bu2 ke4qi5	bú kèqi	you're welcome; don't be polite	不客气。
不	不	bu4	bù	no; not	我不是老师。
菜	菜	cai4	cài	dish (type of food); vegetables	这个菜很好吃。
茶	茶	cha2	chá	tea	你喜欢喝茶吗？
吃	吃	chi1	chī	eat	我喜欢吃水果。
出租车	出租車	chu1zu1che1	chūzūchē	taxi; cab	我要坐出租车。
打电话	打電話	da3 dian4hua4	dǎ diànhuà	make a phone call	我要打电话。
大	大	da4	dà	big; large	这个房间很大。
的	的	de5	de	indicates possession, like adding 's to a noun	这是我的书。
点	點	dian3	diǎn	a dot; a little; o'clock	我想吃点水果。
电脑	電腦	dian4nao3	diànnǎo	computer	我有一台电脑。
电视	電視	dian4shi4	diànshì	television; TV	我喜欢看电视。
电影	電影	dian4ying3	diànyǐng	movie; film	我喜欢看电影。
东西	東西	dong1xi5	dōngxi	things; stuff	这是我的东西。
都	都	dou1	dōu	all; both	他们都很高兴。
读	讀	du2	dú	to read; to study	我喜欢读书。
对不起	對不起	dui4bu5qi3	duìbuqǐ	sorry	对不起，我迟到了。
多	多	duo1	duō	many	这里有很多人。
多少	多少	duo1shao5	duōshao	how much?; how many?	你有多少兄弟姐妹？
儿子	兒子	er2zi5	érzi	son	他是我的儿子。
二	二	er4	èr	two	我有两个苹果。
饭店	飯店	fan4dian4	fàndiàn	restaurant; hotel	我们去饭店吃饭。
飞机	飛機	fei1ji1	fēijī	airplane	飞机很快。
分钟	分鐘	fen1zhong1	fēnzhōng	minute; (measure word for time)	我们等了十分钟。
高兴	高興	gao1xing4	gāoxìng	happy; glad	我很高兴。
个	個	ge5	ge	general measure word	我有一个弟弟。
工作	工作	gong1zuo4	gōngzuò	work; a job	我工作。
狗	狗	gou3	gǒu	dog	我家有一只狗。
汉语	漢語	Han4yu3	Hànyǔ	Chinese language	我学习汉语。
好	好	hao3	hǎo	good	你好。
号	號	hao4	hào	number; day of a month	今天几号？
喝	喝	he1	hē	to drink	我喝水。
和	和	he2	hé	and; with	我喜欢喝茶和咖啡。
很	很	hen3	hěn	very; quite	他很高。
后面	后面	hou4mian5	hòumian	back; behind	他在后面等我。
回	回	hui2	huí	to return; to reply; to go back	我回家了。
会	會	hui4	huì	know how to	我会说中文。
几	幾	ji3	jǐ	how many; several; a few	几个苹果。
家	家	jia1	jiā	family; home	我家很大。
叫	叫	jiao4	jiào	to be called	他叫什么名字？
今天	今天	jin1tian1	jīntiān	today	今天天气很好。
九	九	jiu3	jiǔ	nine	九点了。
开	開	kai1	kāi	to open; to start; to operate (a vehicle)	我要开车。
看	看	kan4	kàn	see; look at; to watch	我喜欢看书。
看见	看見	kan4jian4	kànjiàn	see; catch sight of	我看见你了。
块	塊	kuai4	kuài	lump; piece; sum of money	这个苹果五块钱。
来	來	lai2	lái	come; arrive; ever since; next	你什么时候来？
老师	老師	lao3shi1	lǎoshī	teacher	老师很好。
了	了	le5	le	indicates a completed or finished action	我吃了。
冷	冷	leng3	lěng	cold	今天很冷。
里	裡	li3	lǐ	inside; Chinese mile (~.5 km)	杯子里有水。
六	六	liu4	liù	six	我家有六口人。
妈妈	媽媽	ma1ma5	māma	mom; mum	妈妈很忙。
吗	嗎	ma5	ma	indicates a yes/no question (added to a statement)	你是老师吗？
买	買	mai3	mǎi	to buy	我要买水果。
猫	貓	mao1	māo	cat	这是一只猫。
没关系	沒關系	mei2 guan1xi5	méi guānxi	it doesn't matter; never mind	没关系，我可以帮你。
没有	沒有	mei2you3	méiyǒu	not have; there is not	我没有钱。
米饭	米飯	mi3fan4	mǐfàn	(cooked) rice	我喜欢吃米饭。
明天	明天	ming2tian1	míngtiān	tomorrow	明天我要去图书馆。
