爱情	愛情	ai4qing2	àiqíng	(romantic) love	他们的爱情非常甜蜜。
安排	安排	an1pai2	ānpái	arrange; to plan	老师已经安排好了明天的活动。
安全	安全	an1quan2	ānquán	safe; safety; secure; security	这个地方很安全。
按时	按時	an4shi2	ànshí	on time; on schedule	我每天都按时上班。
按照	按照	an4zhao4	ànzhào	according to; in accordance with; in light of	按照规定，我们需要提前十分钟到达会议室。
百分之	百分之	bai3fen1zhi1	bǎifēnzhī	percent	他们的考试成绩百分之八十以上。
棒	棒	bang4	bàng	stick; club; good; excellent	这家餐厅的菜很棒。
包子	包子	bao1zi	bāozi	steamed stuffed bun	我喜欢吃包子。
保护	保護	bao3hu4	bǎohù	to protect; to defend	我们应该保护环境。
保证	保證	bao3zheng4	bǎozhèng	to guarantee; ensure	他保证会按时完成任务。
报名	報名	bao4 ming2	bào míng	sign up; apply	我想报名参加这个活动。
抱	抱	bao4	bào	to hold; to hug; carry in one's arms; to cradle	我抱着小狗去散步。
抱歉	抱歉	bao4qian4	bàoqiàn	be sorry; feel apologetic; to regret	抱歉，我迟到了。
倍	倍	bei4	bèi	(two, three, etc)-fold; times (multiplier)	这本书比那本书重两倍。
本来	本來	ben3lai2	běnlái	originally; at first	他本来是一个很害羞的人。
笨	笨	ben4	bèn	stupid; foolish; silly; dumb; clumsy	他很笨，老是忘记带钥匙。
比如	比如	bi3ru2	bǐrú	for example; for instance; such as	比如，我喜欢吃水果。
毕业	畢業	bi4 ye4	bì yè	to graduate; to finish school	我明年毕业。
遍	遍	bian4	biàn	a time; everywhere; turn; (mw for times or turns)	这本书我已经看了三遍。
标准	標准	biao1zhun3	biāozhǔn	(an official) standard; norm; criterion	这个考试的标准很高。
表格	表格	biao3ge2	biǎogé	form (document)	这份表格需要填写个人信息。
表示	表示	biao3shi4	biǎoshì	express; show; indicate	他的微笑表示他很开心。
表演	表演	biao3yan3	biǎoyǎn	perform; to play	她非常喜欢在舞台上表演。
表扬	表揚	biao3yang2	biǎoyáng	to praise; commend	老师表扬了我的进步。
饼干	餅幹	bing3gan1	bǐnggān	biscuit; cracker; cookie	我喜欢吃饼干。
并且	並且	bing4qie3	bìngqiě	and; besides; moreover	他很聪明，并且很有耐心。
博士	博士	bo2shi4	bóshì	doctor; PhD	他是一位博士生。
不得不	不得不	bu4 de2 bu4	bù dé bù	have to; have no choice but to; cannot but	我不得不去医院看病。
不管	不管	bu4guan3	bùguǎn	no matter (what, how, etc.); regardless of	不管你做什么，我都支持你。
不过	不過	bu2guo4	búguò	only; merely; but; however	他很忙，不过还是来参加了聚会。
不仅	不僅	bu4jin3	bùjǐn	not only; not just	他不仅是我的同事，还是我的好朋友。
部分	部分	bu4fen	bùfen	part; share; section	这部电影的部分情节很感人。
擦	擦	ca1	cā	to wipe; to rub; to polish	我擦了桌子。
猜	猜	cai1	cāi	to guess	你能猜出来这个谜语的答案吗？
材料	材料	cai2liao4	cáiliào	material	这个项目需要很多材料。
参观	參觀	cang1uan1	cānguān	to visit (a place, such as a tourist spot); inspect	我们明天要去参观故宫。
餐厅	餐廳	can1ting1	cāntīng	dining hall; cafeteria; restaurant	我们去餐厅吃晚饭吧。
厕所	廁所	ce4suo3	cèsuǒ	bathroom; toilet; lavatory	我想去厕所。
差不多	差不多	cha4buduo1	chàbuduō	almost; about the same	他的中文水平差不多我的英文水平。
长城	長城	chang2cheng2	chángchéng	the Great Wall	长城是中国的一大奇迹。
长江	長江	Chang2jiang1	Chángjiāng	the Yangtze River; the Changjiang River	长江是中国最长的河流。
尝	嘗	chang2	cháng	to taste; flavor; (past tense marker)	我尝了一下这道菜，味道很好。
场	場	chang3	chǎng	courtyard; place; field; (mw for games, performances, etc.)	这个场地很大。
超过	超過	chao1guo4	chāoguò	surpass; exceed; outstrip	他的成绩超过了我的预期。
成功	成功	cheng2gong1	chénggōng	success; to succeed	我相信你会成功的。
成为	成爲	cheng2wei2	chéngwéi	become; turn into	他努力学习，希望将来成为一名医生。
诚实	誠實	cheng2shi2	chéngshí	honest; honorable	他是一个很诚实的人。
乘坐	乘坐	cheng2zuo4	chéngzuò	ride; get into (a vehicle)	我乘坐公交车去公司。
吃惊	吃驚	chi1 jing1	chī jīng	be startled; be shocked; be amazed	他听到这个消息很吃惊。
重新	重新	chong2xin1	chóngxīn	again; anew; once more	我决定重新开始我的学习。
抽烟	抽煙	chou1yan1	chōuyān	to smoke (a cigarette, pipe, etc.)	他抽烟的习惯很不好。
出差	出差	chu1 chai1	chū chāi	go on a business trip	我下个星期要出差去北京。
出发	出發	chu1fa1	chūfā	start out; set off	我们明天一早就出发去旅行。
出生	出生	chu1sheng1	chūshēng	be born	我出生在中国。
出现	出現	chu1xian4	chūxiàn	appear; arise; emerge	他突然出现在我的面前。
厨房	廚房	chu2fang2	chúfáng	kitchen	我喜欢在厨房里做饭。
传真	傳真	chuan2zhen1	chuánzhēn	fax; facsimile	请用传真发送这份文件给我。
窗户	窗戶	chuang1hu	chuānghu	window	我家的窗户很大。
词语	詞語	ci2yu3	cíyǔ	words and expressions; terms	这本书里有很多生词和词语。
从来	從來	cong2lai2	cónglái	always; at all times	他从来不喜欢吃辣的食物。
粗心	粗心	cu1xin1	cūxīn	careless; inadvertent; negligent	他很粗心，老是忘记带钥匙。
存	存	cun2	cún	exist; to deposit; to store	我要存钱。
错误	錯誤	cuo4wu4	cuòwù	error; mistake; mistaken	这是一个错误的答案。
答案	答案	da2'an4	dá'àn	answer; solution	这道数学题的答案是多少？
打扮	打扮	da3ban	dǎban	dress up; put on make up	昨天晚上我花了很长时间打扮。
打扰	打擾	da3rao3	dǎrǎo	disturb	请不要打扰我，我在学习。
打印	打印	da3yin4	dǎyìn	to print	我需要打印这份文件。
打招呼	打招呼	da3zhao1hu	dǎzhāohu	notify; greet; inform	我看到他们的时候，会打招呼的。
打折	打折	da3zhe2	dǎzhé	sell at a discount	这家商店正在打折。
打针	打針	da3zhen1	dǎzhēn	inject; get a shot	我很害怕打针。
大概	大概	da4gai4	dàgài	probably; roughly; approximate	他大概会在六点钟到达。
大使馆	大使館	da4shi3guan3	dàshǐguǎn	embassy	我需要去大使馆办理签证。
大约	大約	da4yue1	dàyuē	approximately; about	我们大约下个星期去旅行。
大夫	大夫	dai4fu	dàifu	doctor; physician	他去看大夫了。
戴	戴	dai4	dài	put on; to wear; to respect	他戴着帽子去了公园。
当	當	dang1	dāng	should; act as; work as; manage; match; (sound of bells)	你们当好朋友。
当时	當時	dang1shi2	dāngshí	then; at that time; while	当时我正在做作业。
刀	刀	dao1	dāo	knife; blade (Kangxi radical 18)	他用刀切水果。
导游	導遊	dao3you2	dǎoyóu	tour guide	导游会给我们介绍这个城市的历史和文化。
到处	到處	dao4chu4	dàochù	everywhere; in all places; all over	他们到处都在找你。
到底	到底	dao4 di3	dào dǐ	after all; in the end (used in a question)	你到底想吃什么？
倒	倒	dao3, dao4	dǎo, dào	to collapse; to fall; fail; to exchange | to pour; contrary to expectations	他突然倒地了。
道歉	道歉	dao4qian4	dàoqiàn	apologize; make an apology	我要向你道歉。
得意	得意	de2yi4	déyì	proud of oneself; complacent	他考试考得很好，感到得意。
得	得	de	de	(complement particle)	我跑得很快。
登机牌	登機牌	deng1ji1pai2	dēngjīpái	boarding pass	我忘记带我的登机牌了。
等	等	deng3	děng	to wait; rank; equal; etc.	我在等你。
低	低	di1	dī	low; to lower (one's head); droop	他的声音低沉而有力。
底	底	di3	dǐ	bottom; background; base	这个书架的底部有一层灰尘。
地点	地點	di4dian3	dìdiǎn	place; site; location	这个地点很适合拍照。
地球	地球	di4qiu2	dìqiú	the Earth; planet	地球是我们生活的家园。
地址	地址	di4zhi3	dìzhǐ	address	请问你的地址是什么？
调查	調查	diao4cha2	diàochá	investigate; survey; inquiry	我需要调查这个问题。
